"","municipio","cod_municipio","uf","area_km2","desmatado","incremento","floresta","nuvem","nao_observado","nao_floresta","hidrografia","soma","ano"
"1480","Anajatuba",2100709,"MA",1024,307.2,0.4,51,0.1,0,552.8,112.9,100,2004
"1481","Anajás",1500701,"PA",6940,161.2,0.6,6410.7,20.7,1.5,209.1,136.8,99,2004
"1482","Amaturá",1300060,"AM",4903,110.3,0.9,4356.5,0.1,0,222.5,213.6,100,2004
"1483","Amarante do Maranhão",2100600,"MA",7733,1982.3,38,4057.7,8.2,6.3,1678.5,0,100,2004
"1484","Amapá do Maranhão",2100550,"MA",507,358.8,0,148.2,0,0,0,0,100,2004
"1485","Amapá",1600105,"AP",9186,92.8,1.5,3082.4,122,2.4,4911.1,975.3,100,2004
"1486","Amajari",1400027,"RR",28786,241.6,3.5,22379.8,323.2,465.5,5292,83.9,100,2004
"1487","Alvorada D'Oeste",1100346,"RO",3060,1323.3,15.6,917,0,0,819.7,0,100,2004
"1488","Alvorada",1700707,"TO",1216,0,0,0,0,1216.4,1216.1,0,200,2004
"1489","Alvarães",1300029,"AM",6027,290.8,1.5,5570.6,0,0,38,127.6,100,2004
"1490","Alto Taquari",5100607,"MT",1391,0,0,0,0,492.1,1383.4,0,134,2004
"1491","Alto Parnaíba",2100501,"MA",11229,0,0,156.3,0,0,11072.7,0,100,2004
"1492","Alto Paraíso",1100403,"RO",2683,1429.1,87.9,1235.4,0,0.1,0.8,17.6,100,2004
"1493","Alto Paraguai",5100508,"MT",2055,420,1.1,127,0,0,1508,0,100,2004
"1494","Alto Garças",5100409,"MT",3658,0,0,0,0,1772.1,3658,0,148,2004
"1495","Alto Boa Vista",5100359,"MT",2241,1057.4,48.5,609.8,0,0,573.8,0,99,2004
"1496","Alto Araguaia",5100300,"MT",5541,0,0,0,0,4286.3,5339.3,0,173,2004
"1497","Alto Alegre dos Parecis",1100379,"RO",3994,1168.9,74.6,1889.7,0,4,917.6,13.8,99,2004
"1498","Alto Alegre do Pindaré",2100477,"MA",1951,1852.6,4,44.5,0,0.4,53.5,0,99,2004
"1499","Alto Alegre do Maranhão",2100436,"MA",388,179.1,0,0,0,239.8,0,0,107,2004
"1500","Alto Alegre",1400050,"RR",25869,669.9,24.6,21416.9,965,113.1,2610.3,93.8,100,2004
"1501","Altamira do Maranhão",2100402,"MA",542,542.5,0,0,0,0,0,0,100,2004
"1502","Altamira",1500602,"PA",159540,4602.7,678,149423.6,62.3,22.5,3760.6,1668.3,100,2004
"1503","Alta Floresta D'Oeste",1100015,"RO",7137,2092,77.1,3308.7,0,6.1,1708,22.2,100,2004
"1504","Alta Floresta",5100250,"MT",8986,4604.5,232,4085.1,0,1.6,258.7,36.1,100,2004
"1505","Almeirim",1500503,"PA",72964,1541.6,26.7,67378.4,239.3,58.6,2715.5,1030.6,99,2004
"1506","Almas",1700400,"TO",4041,0,0,0,0,4048.8,4041,0,200,2004
"1507","Aliança do Tocantins",1700350,"TO",1585,0,0,0,0,1529.1,1585.9,0,196,2004
"1508","Alenquer",1500404,"PA",22286,1225.4,33.1,17986.4,3.7,4.5,2476.4,589.6,100,2004
"1509","Alcântara",2100204,"MA",1506,902.2,0.1,178.3,3.5,0,72,350,100,2004
"1510","Aguiarnópolis",1700301,"TO",236,104.3,0.9,25.2,0,0.1,102.1,4.3,99,2004
"1511","Água Boa",5100201,"MT",7486,35.1,0.2,124.7,0,3.8,7322.4,0,100,2004
"1512","Água Azul do Norte",1500347,"PA",7125,4428.6,31.3,2568.5,0,0,127.9,0,100,2004
"1513","Afuá",1500305,"PA",8382,24.5,0.2,5321.3,8.4,0.5,286.7,2740.6,100,2004
"1514","Acrelândia",1200013,"AC",1880,922.8,47.9,955,0,2.2,0,0,100,2004
"1515","Acorizal",5100102,"MT",841,0,0,0,0,0.9,840.8,0,100,2004
"1516","Acará",1500206,"PA",4361,2088.1,72.5,0,0,2241,43.3,70.5,101,2004
"1517","Açailândia",2100055,"MA",5846,5052.4,63.4,790.1,2.2,1.3,0,0,100,2004
"1518","Abreulândia",1700251,"TO",1900,3.9,0.3,51.5,0,0.3,1844.3,0,100,2004
"1519","Abel Figueiredo",1500131,"PA",616,540.9,0.9,74.9,0,0.2,0,0,100,2004
"1520","Abaetetuba",1500107,"PA",1617,670.6,11.6,291.2,0,228,13.6,413.6,100,2004
"1521","Zé Doca",2114007,"MA",2438,1938.1,33.3,479.8,19.8,0.3,0,0,100,2005
"1522","Xinguara",1508407,"PA",3793,3328.5,71.7,446.9,0,0,0,17.6,99,2005
"1523","Xapuri",1200708,"AC",5511,1221,40.2,4289.2,0,0.8,0,0,100,2005
"1524","Xambioá",1722107,"TO",1191,959.5,9.6,190.3,0,0.1,11,30.1,100,2005
"1525","Wanderlândia",1722081,"TO",1382,309.8,12.8,151.4,0,0,920.8,0,100,2005
"1526","Vitorino Freire",2113009,"MA",1209,1166.3,0,0,0,0,43.3,0,100,2005
"1527","Vitória do Xingu",1508357,"PA",3136,1772.1,52.5,1204.8,9.6,0,0.1,149.4,100,2005
"1528","Vitória do Mearim",2112902,"MA",736,230,0,22.9,8.1,0.2,464.9,9.9,100,2005
"1529","Vitória do Jari",1600808,"AP",2481,187,1.3,1500.5,283.3,0.8,379.8,129.6,100,2005
"1530","Viseu",1508308,"PA",4971,3352.3,29.9,1478.3,7,0.7,45.4,87.3,100,2005
"1531","Vilhena",1100304,"RO",11584,1618.5,58.5,8274.3,0,3.9,1685.8,1.5,99,2005
"1532","Vila Rica",5108600,"MT",7443,4335.4,255.9,2910.9,0,0,186.8,9.9,100,2005
"1533","Vila Nova dos Martírios",2112852,"MA",1196,954.8,6.3,98.8,0,1.4,131.8,9.2,100,2005
"1534","Vila Bela da Santíssima Trindade",5105507,"MT",13521,4439.4,71,2398.6,0,19.6,6590.5,72.9,99,2005
"1535","Vigia",1508209,"PA",536,211.1,2.3,0,0,326.3,16.4,161.4,133,2005
"1536","Viana",2112803,"MA",1176,490.3,0.4,95.6,12.7,0,382.3,195.1,100,2005
"1537","Vera",5108501,"MT",2952,1888.6,50.7,1044.1,0,1.4,17.8,0.1,99,2005
"1538","Várzea Grande",5108402,"MT",939,0,0,0,0,1.4,937.7,0,100,2005
"1539","Vale do Paraíso",1101807,"RO",974,864.5,3.7,105.3,0,0,3.5,0.7,100,2005
"1540","Vale do Anari",1101757,"RO",3166,1119.5,51.7,2016.2,0,0,11.3,19,99,2005
"1541","Vale de São Domingos",5108352,"MT",1913,598.4,2.6,503.3,0,0.2,811.1,0,100,2005
"1542","Urupá",1101708,"RO",841,681.6,8.6,61.7,0,0,97.7,0,100,2005
"1543","Urucurituba",1304401,"AM",2915,92.5,0.4,132.5,0,0,1689.6,1000.4,100,2005
"1544","Urucará",1304302,"AM",28012,326.3,1.3,26600.5,14.9,0.9,423,646.4,99,2005
"1545","Uruará",1508159,"PA",10794,2538.2,116.2,7607.4,644.4,3.8,0,0.2,100,2005
"1546","União do Sul",5108303,"MT",4583,899.2,115.9,3659,0,2.1,22.7,0,100,2005
"1547","Ulianópolis",1508126,"PA",5122,3097.4,105.8,2017.9,6.5,0.2,0,0,100,2005
"1548","Uiramutã",1400704,"RR",8117,25.3,0.5,2113.1,33.6,52.8,5884.1,8.1,99,2005
"1549","Uarini",1304260,"AM",10448,228.4,3.3,9687.4,0,0,100.4,431.8,99,2005
"1550","Turilândia",2112456,"MA",1529,1136.8,0.1,164.4,31.6,0.1,135.6,60.5,100,2005
"1551","Turiaçu",2112407,"MA",2603,1887.5,1.3,545.4,54.1,1.3,48,66.7,99,2005
"1552","Tupiratins",1721307,"TO",900,2.1,0,6.9,0,0,883.1,7.9,100,2005
"1553","Tupirama",1721257,"TO",715,0,0,0,0,0,709.8,5.7,100,2005
"1554","Tuntum",2112308,"MA",3619,1135.3,36.3,506,0,0.2,1933.7,43.8,100,2005
"1555","Tufilândia",2112274,"MA",274,249,0,0,0,0,25,0,100,2005
"1556","Tucuruí",1508100,"PA",2095,657.5,7.5,951.3,3.4,0,4.7,478.1,99,2005
"1557","Tucumã",1508084,"PA",2513,2237,19.9,267.9,0,0.5,0,7.6,99,2005
"1558","Trizidela do Vale",2112233,"MA",225,152.8,0,0,0,72.5,0,0,100,2005
"1559","Trairão",1508050,"PA",11997,869.1,50.1,10972.2,52.4,0.2,1.1,102,99,2005
"1560","Tracuateua",1508035,"PA",858,460.2,3.3,161.5,8.2,18.5,188.8,20.8,100,2005
"1561","Torixoréu",5108204,"MT",2397,0,0,0,0,3.3,2394.2,1.1,100,2005
"1562","Tonantins",1304237,"AM",6619,78.9,1,5497.3,658.1,1.6,67.4,315.7,99,2005
"1563","Tomé-Açu",1508001,"PA",5169,2804.6,63.2,2211.1,0.1,152.7,0.1,0.4,100,2005
"1564","Tocantinópolis",1721208,"TO",1085,298.9,6.6,137.2,0,0,624,24.9,100,2005
"1565","Tocantínia",1721109,"TO",2619,0,0,0,0,0.3,2600.5,18.8,100,2005
"1566","Theobroma",1101609,"RO",2217,1704.1,23.1,512.5,0,0,0,0.4,100,2005
"1567","Tesouro",5108105,"MT",3944,0,0,0,0,5.1,3938.9,1.1,100,2005
"1568","Terra Santa",1507979,"PA",1900,320.5,6.2,801.7,0.1,0.2,388.1,389.4,100,2005
"1569","Terra Nova do Norte",5108055,"MT",2551,2040.9,36.3,505.5,0,0,4.6,0,100,2005
"1570","Terra Alta",1507961,"PA",209,165.7,0.3,0.4,0,42.9,0,0,100,2005
"1571","Teixeirópolis",1101559,"RO",464,439,0.1,25,0,0,0,0,100,2005
"1572","Tefé",1304203,"AM",24186,602.1,7.2,22687,1.5,1.8,168.9,724.7,100,2005
"1573","Tasso Fragoso",2112001,"MA",4426,0,0,27.1,0,0,4398.9,0,100,2005
"1574","Tartarugalzinho",1600709,"AP",6718,260.1,6.3,2769.7,256.3,16.5,3226.1,189.3,100,2005
"1575","Tarauacá",1200609,"AC",21156,1316.1,29.5,19823.2,0,1.9,1.2,13.6,100,2005
"1576","Tapurah",5108006,"MT",4491,1902.8,82.3,1897.5,0,0,680.6,10.1,99,2005
"1577","Tapauá",1304104,"AM",90962,295.9,4.3,86997.6,4.1,1.9,2161.1,1501.4,100,2005
"1578","Tangará da Serra",5107958,"MT",11333,2158.5,0.2,660.8,0,0,8512.8,0.9,100,2005
"1579","Talismã",1720978,"TO",2162,0,0,0,0,2161,2158.4,0,199,2005
"1580","Taipas do Tocantins",1720937,"TO",1123,0,0,0,0,1123.4,1123.5,0,200,2005
"1581","Tailândia",1507953,"PA",4451,1928.8,129.6,2520,2.2,0,0,0,99,2005
"1582","Taguatinga",1720903,"TO",2458,0,0,0,0,2457.9,2452.3,0,199,2005
"1583","Tabatinga",1304062,"AM",3343,150.8,0.9,3104.8,4.5,29.6,1.3,52,100,2005
"1584","Tabaporã",5107941,"MT",8231,2332.9,203.3,3651.1,0,0.7,2240.1,6.2,100,2005
"1585","Sucupira do Norte",2111904,"MA",1087,0,0,0,0,461,1087.8,0,142,2005
"1586","Sucupira",1720853,"TO",1030,0,0,0,0,1031.4,1030.8,0,200,2005
"1587","Soure",1507904,"PA",3528,33.1,0,0,1.6,475.9,2502.9,730.9,106,2005
"1588","Sorriso",5107925,"MT",9349,3958.7,46.4,1270.5,0,0.7,4119.1,0,100,2005
"1589","Sítio Novo do Tocantins",1720804,"TO",325,292.6,3.5,32.4,0,0,0,0,100,2005
"1590","Sítio Novo",2111805,"MA",3141,57.8,1.9,0,0,869.1,3063.1,0,127,2005
"1591","Sinop",5107909,"MT",3935,2349.4,51.8,1430.9,0,0,136.3,18.4,99,2005
"1592","Silves",1304005,"AM",3758,421,2.3,2607,2.6,0,128.7,598.7,99,2005
"1593","Silvanópolis",1720655,"TO",1268,0,0,0,0,1262.6,1268.6,0,199,2005
"1594","Serrano do Maranhão",2111789,"MA",1221,1100.3,0,78.6,25.9,0.2,2.3,13.7,100,2005
"1595","Serra Nova Dourada",5107883,"MT",1491,268,2.7,260.3,0,0,962.7,0,100,2005
"1596","Serra do Navio",1600055,"AP",7762,69.1,0.2,7584.5,98.6,0.7,0,9.1,100,2005
"1597","Seringueiras",1101500,"RO",3821,1122.6,48.3,2003.4,0,0,695,0,100,2005
"1598","Senador La Rocque",2111763,"MA",1247,1120.1,24.2,126.9,0,0,0,0,100,2005
"1599","Senador José Porfírio",1507805,"PA",14389,535.6,56.3,13375.9,5,0.3,84.9,387.3,99,2005
"1600","Senador Guiomard",1200450,"AC",2384,1637.9,51.5,746.1,0,0,0,0,100,2005
"1601","Sena Madureira",1200500,"AC",24599,1496,84.2,23084.2,0,15.8,2.4,0.6,99,2005
"1602","Satubinha",2111722,"MA",447,356.2,0,0,0,0,86.7,4.4,100,2005
"1603","Sapucaia",1507755,"PA",1300,1151,6.3,149,0,0,0,0,100,2005
"1604","Sapezal",5107875,"MT",13636,176.9,18.2,2857,0,5.7,10595.9,0.5,100,2005
"1605","São Vicente Ferrer",2111706,"MA",393,296.1,0,0,0,0,97.8,0,100,2005
"1606","São Valério da Natividade",1720499,"TO",2532,0,0,0,0,2531.7,2532.2,0,200,2005
"1607","São Sebastião do Uatumã",1303957,"AM",10776,186.7,1.5,9897.3,0,0.5,65.7,625.8,100,2005
"1608","São Sebastião do Tocantins",1720309,"TO",287,135.6,0.2,0,0,0,132.9,18.6,100,2005
"1609","São Sebastião da Boa Vista",1507706,"PA",1636,120.7,0.2,1198.5,25.5,0.3,175.1,115.9,100,2005
"1610","São Salvador do Tocantins",1720259,"TO",1429,0,0,0,0,1431,1429,0,200,2005
"1611","São Roberto",2111672,"MA",229,229.7,0,0,0,0,0,0,100,2005
"1612","São Raimundo do Doca Bezerra",2111631,"MA",284,279.6,0,4.1,0,0.3,0,0,100,2005
"1613","São Raimundo das Mangabeiras",2111607,"MA",3555,0,0,0,0,3556.4,3555.6,0,200,2005
"1614","São Pedro dos Crentes",2111573,"MA",987,0,0,0,0,454.5,988,0,146,2005
"1615","São Pedro da Cipa",5107404,"MT",343,305.7,0,6.3,0,0,31,0,100,2005
"1616","São Pedro da Água Branca",2111532,"MA",725,451.7,4.4,42.2,0,0.9,208,22.2,99,2005
"1617","São Paulo de Olivença",1303908,"AM",20467,172,0.9,19474.9,145.7,0.3,86.3,587.8,99,2005
"1618","São Miguel do Tocantins",1720200,"TO",400,328.5,3.4,54.5,0,0,4.2,12.8,100,2005
"1619","São Miguel do Guaporé",1100320,"RO",8102,2035.7,73,4268,0,0.1,1798.2,0,100,2005
"1620","São Miguel do Guamá",1507607,"PA",1117,840.5,5.7,0,0,277.5,15.2,32.2,104,2005
"1621","São Mateus do Maranhão",2111508,"MA",793,456.5,0,0,0,223.1,106.9,9,100,2005
"1622","São Luiz",1400605,"RR",1537,497.1,15.9,1037.7,0,0.1,0,2.1,100,2005
"1623","São Luís Gonzaga do Maranhão",2111409,"MA",981,643.5,0,0.4,0,335.4,1.7,0,100,2005
"1624","São Luís",2111300,"MA",839,349.8,7.1,174.4,23.3,0.4,0,291.1,100,2005
"1625","São José dos Quatro Marcos",5107107,"MT",1284,1176.6,3,71.3,0,0,36.1,0,100,2005
"1626","São José dos Basílios",2111250,"MA",366,263.5,7.7,8,0,81.8,0,12.7,100,2005
"1627","São José do Xingu",5107354,"MT",7465,4131.1,68.7,2966.1,0,4.6,306.2,57,99,2005
"1628","São José do Rio Claro",5107305,"MT",4563,1671.2,108.4,1786.1,0,0,1103.6,2.1,100,2005
"1629","São José do Povo",5107297,"MT",443,27.4,0,0,0,0,416.1,0,100,2005
"1630","São José de Ribamar",2111201,"MA",390,91.9,4.4,89.6,1.2,35.1,0,172.2,99,2005
"1631","São João do Paraíso",2111052,"MA",2070,249.8,9,24.6,0,0.8,1794.8,0,100,2005
"1632","São João do Carú",2111029,"MA",620,392.3,5.2,227.7,0,0,0,0,100,2005
"1633","São João do Araguaia",1507508,"PA",1288,836.1,34.7,262.1,0,0,73.7,116.1,99,2005
"1634","São João de Pirabas",1507474,"PA",703,183.2,15,131.5,8.9,285.1,12.9,81.4,99,2005
"1635","São João da Ponta",1507466,"PA",197,95.3,2.5,0,0,101.7,1.7,11.3,106,2005
"1636","São João da Baliza",1400506,"RR",4305,441,11.4,3857.3,0.8,0.1,0.4,5.4,99,2005
"1637","São João Batista",2111003,"MA",700,148.6,0,56.4,1,0,358.8,135.2,100,2005
"1638","São Geraldo do Araguaia",1507458,"PA",3181,2460.8,23.1,376.9,0,0,314.1,29.2,100,2005
"1639","São Gabriel da Cachoeira",1303809,"AM",112476,1169.7,4.5,106835.9,2127.8,370.6,489.7,1482.3,100,2005
"1640","São Francisco do Pará",1507409,"PA",480,408,6.2,0,0,72.2,1.3,0.1,100,2005
"1641","São Francisco do Guaporé",1101492,"RO",11095,2211.2,86.2,5716.1,0,0,3144.7,23,100,2005
"1642","São Francisco do Brejão",2110856,"MA",751,703.5,2.6,47.5,0,0,0,0,100,2005
"1643","São Félix do Xingu",1507300,"PA",84253,13801.7,1407.9,65717.8,0,6.5,3788,939,100,2005
"1644","São Félix do Tocantins",1720150,"TO",1923,0,0,0,0,1923.1,1923.4,0,200,2005
"1645","São Félix do Araguaia",5107859,"MT",16851,4084.7,163.1,6524,0,0.7,6180.1,61.5,99,2005
"1646","São Félix de Balsas",2110807,"MA",2057,0,0,12.5,0,0,2044.5,0,100,2005
"1647","São Felipe D'Oeste",1101484,"RO",547,484.2,6.2,62.8,0,0,0,0,100,2005
"1648","São Domingos do Maranhão",2110708,"MA",1168,703.4,47.7,372.3,0,0,92.3,0,100,2005
"1649","São Domingos do Capim",1507201,"PA",1686,1261.9,11.7,0,0,425.7,15.2,35.9,103,2005
"1650","São Domingos do Azeitão",2110658,"MA",974,0,0,0,0,1071.7,974.2,0,210,2005
"1651","São Domingos do Araguaia",1507151,"PA",1397,1243.6,20.1,153.4,0,0,0,0,100,2005
"1652","São Caetano de Odivelas",1507102,"PA",752,219.6,0.9,0,0,397.7,8.8,313.5,124,2005
"1653","São Bento do Tocantins",1720101,"TO",1112,347.4,5.9,78.5,0,1.4,684.7,0,100,2005
"1654","São Bento",2110500,"MA",465,362.8,0,1.7,0.2,0,99.8,0.5,100,2005
"1655","Santo Antônio dos Lopes",2110302,"MA",781,278.6,0,1.5,0,500.9,0,0,100,2005
"1656","Santo Antônio do Tauá",1507003,"PA",540,313.8,0.1,0,0,227.2,6.8,96.9,119,2005
"1657","Santo Antônio do Leverger",5107800,"MT",12262,1026,26.9,1114.4,0,0.4,10099.5,21.7,100,2005
"1658","Santo Antônio do Leste",5107792,"MT",3597,2,0.2,64.8,0,0,3530.2,0,100,2005
"1659","Santo Antônio do Içá",1303700,"AM",12737,128.9,0.4,11286.4,714.8,65.2,90.4,451.3,99,2005
"1660","Santo Afonso",5107263,"MT",1172,930.9,24.2,236.7,0,0,4.4,0,100,2005
"1661","Santarém Novo",1506906,"PA",230,142.6,9.7,0,0,90.9,1.9,8.8,106,2005
"1662","Santarém",1506807,"PA",22890,4352.7,35.6,13784.7,200.9,0.4,663.5,3887.8,100,2005
"1663","Santana do Araguaia",1506708,"PA",11609,6449.7,484.9,4285.7,0,0.3,808.4,64.9,100,2005
"1664","Santana",1600600,"AP",1578,67.2,1.5,480.9,45,0.6,940,44.3,100,2005
"1665","Santa Terezinha do Tocantins",1720002,"TO",271,73.3,1.5,24.2,0,0.5,173,0,100,2005
"1666","Santa Terezinha",5107776,"MT",6459,2400.9,132.7,2767,0,0.2,1243.7,47.2,100,2005
"1667","Santa Tereza do Tocantins",1719004,"TO",543,0,0,0,0,0,543.7,0,100,2005
"1668","Santa Rosa do Tocantins",1718907,"TO",1804,0,0,0,0,1804.2,1804.1,0,200,2005
"1669","Santa Rosa do Purus",1200435,"AC",6350,62.3,6.1,6223.8,0,28.9,0.1,34.9,100,2005
"1670","Santa Rita do Trivelato",5107768,"MT",4756,663.9,2.5,685,0,0,3407.1,0,100,2005
"1671","Santa Rita do Tocantins",1718899,"TO",3285,19.9,2.7,0,0,1110.2,3247,0.2,133,2005
"1672","Santa Rita",2110203,"MA",718,205.7,16.4,321.6,0.3,0,168.6,21.8,100,2005
"1673","Santa Maria do Tocantins",1718881,"TO",1419,0,0,0,0,0,1410.6,9.3,100,2005
"1674","Santa Maria do Pará",1506609,"PA",460,405.1,1.5,0,0,56,0,0,100,2005
"1675","Santa Maria das Barreiras",1506583,"PA",10351,5413.7,281.4,2379.4,0,0,2508.9,49,99,2005
"1676","Santa Luzia do Paruá",2110039,"MA",908,862.1,0,8.5,6.6,0.3,30.5,0,100,2005
"1677","Santa Luzia do Pará",1506559,"PA",1367,1224.3,10.2,114.7,1.4,26.6,0,0,100,2005
"1678","Santa Luzia D'Oeste",1100296,"RO",1207,963.4,18.6,243.6,0,0,0,0,100,2005
"1679","Santa Luzia",2110005,"MA",6245,5591.4,4.4,606,47.2,0.4,0,0,100,2005
"1680","Santa Isabel do Rio Negro",1303601,"AM",64130,205.1,1.3,61455.1,819.8,70.9,950.8,628.3,100,2005
"1681","Santa Isabel do Pará",1506500,"PA",720,523.1,1.7,0,0,197.3,4.1,20.8,103,2005
"1682","Santa Inês",2109908,"MA",778,766.3,0,0,0,0,8.6,3.5,100,2005
"1683","Santa Helena",2109809,"MA",2335,1381.7,0.1,141.7,74.4,0,629.3,107.9,100,2005
"1684","Santa Filomena do Maranhão",2109759,"MA",408,52.2,4.1,16.5,0,0,339.3,0,99,2005
"1685","Santa Fé do Araguaia",1718865,"TO",1683,1248.7,22,375,0,0,0,59.3,99,2005
"1686","Santa Cruz do Xingu",5107743,"MT",5627,1300.2,86,2639.8,0,0,1621.6,65.4,100,2005
"1687","Santa Cruz do Arari",1506401,"PA",1078,0,0,4.6,1.1,0,1044.1,28.2,100,2005
"1688","Santa Carmem",5107248,"MT",3836,1378.8,107.2,2457.2,0,0,0,0,100,2005
"1689","Santa Bárbara do Pará",1506351,"PA",279,155.6,0.2,0,0,124,0,19.6,107,2005
"1690","Sandolândia",1718840,"TO",3536,4.1,0,75.1,0,1.1,3440.9,14.8,100,2005
"1691","Sampaio",1718808,"TO",223,73.7,0.2,12.8,0,0.5,123.4,12.6,100,2005
"1692","Sambaíba",2109700,"MA",2509,0,0,31.9,0,0,2477.1,0,100,2005
"1693","Salvaterra",1506302,"PA",1048,103.2,0.3,0,13.7,357.1,433.3,299.7,115,2005
"1694","Salto do Céu",5107750,"MT",1776,1332.4,3.6,391.8,0,0,51.7,0.1,100,2005
"1695","Salinópolis",1506203,"PA",219,23,0.3,130.1,18.6,15.9,10.5,20.9,99,2005
"1696","Rurópolis",1506195,"PA",7025,1548.6,15.7,5157.5,271.1,0,0,47.8,100,2005
"1697","Rosário Oeste",5107701,"MT",7493,64.8,0.6,24.2,0,0,7395,9,99,2005
"1698","Rosário",2109601,"MA",695,71.7,8.2,528.1,0.8,0,0,94.4,100,2005
"1699","Rorainópolis",1400472,"RR",33847,993.9,18.4,24559,74.4,6,7642.4,571.3,100,2005
"1700","Rondonópolis",5107602,"MT",4168,824.8,4.7,271.8,0,0.1,3065.7,5.6,99,2005
"1701","Rondon do Pará",1506187,"PA",8286,5148.9,180.8,3137.1,0,0,0,0,100,2005
"1702","Rondolândia",5107578,"MT",12743,1817.4,75.8,10847.8,0,1.2,52.2,24.4,100,2005
"1703","Rolim de Moura",1100288,"RO",1471,1312.1,14.6,158.9,0,0,0,0,100,2005
"1704","Rodrigues Alves",1200427,"AC",3246,451.5,7.6,2741.8,0,52,0.7,0,99,2005
"1705","Rio Sono",1718758,"TO",6394,0,0,0,0,1928.6,6392.1,0,130,2005
"1706","Rio Preto da Eva",1303569,"AM",5838,548.3,2.5,5278.3,0,1.1,0,10.3,100,2005
"1707","Rio Maria",1506161,"PA",4122,3304,82.2,681.9,0,0,128.6,7.5,100,2005
"1708","Rio dos Bois",1718709,"TO",848,17.8,0,0.2,0,0,828.1,1.9,99,2005
"1709","Rio da Conceição",1718659,"TO",793,0,0,0,0,777.6,785.9,0,197,2005
"1710","Rio Crespo",1100262,"RO",1741,1020.8,35.4,696.9,0,0,23.3,0,100,2005
"1711","Rio Branco",1200401,"AC",9113,2405.2,85,6707.6,0,0.1,0,0.1,99,2005
"1712","Rio Branco",5107206,"MT",529,445.9,0.8,10.4,0,0.5,72.2,0,100,2005
"1713","Ribeirãozinho",5107198,"MT",623,0,0,0,0,22,618.7,0,102,2005
"1714","Ribeirão Cascalheira",5107180,"MT",11364,1566.2,70.2,1842.7,0,0.2,7938.9,16,100,2005
"1715","Ribamar Fiquene",2109551,"MA",755,431.4,13.7,63.4,0,0,244.7,15.5,100,2005
"1716","Riachinho",1718550,"TO",520,439.8,2.4,60.9,0,0.5,18.8,0,100,2005
"1717","Riachão",2109502,"MA",6422,0,0,0,0,4449.1,6422.7,0,169,2005
"1718","Reserva do Cabaçal",5107156,"MT",1342,283.6,0,348.5,0,0,709.9,0,100,2005
"1719","Redenção",1506138,"PA",3830,2636.8,15.9,488.1,0,0.1,705,0,99,2005
"1720","Recursolândia",1718501,"TO",2230,32.8,0,94.8,0,1.5,2100.9,0,99,2005
"1721","Raposa",2109452,"MA",64,13,0.2,42,0.5,0.1,0.7,7.7,100,2005
"1722","Querência",5107065,"MT",17854,4821.1,146.5,10677.1,0.5,0.8,2273.5,81,99,2005
"1723","Quatipuru",1506112,"PA",326,73.4,0.6,43.7,8.1,117.2,24.9,58.7,100,2005
"1724","Pugmil",1718451,"TO",403,0,0,0,0,0,403.3,0,100,2005
"1725","Primavera do Leste",5107040,"MT",5473,0.7,0,17.1,0,0,5455.2,0,99,2005
"1726","Primavera de Rondônia",1101476,"RO",610,420.2,9.7,95.7,0,0,93.6,0.5,100,2005
"1727","Primavera",1506104,"PA",261,172.8,1.5,0,0,84.5,9.3,8,105,2005
"1728","Presidente Sarney",2109270,"MA",732,548,0.3,62.1,37.1,0,82.1,2.7,100,2005
"1729","Presidente Médici",1100254,"RO",1773,1596.6,6.6,149.3,0,0,17.6,9.5,100,2005
"1730","Presidente Médici",2109239,"MA",441,440.1,0,0.6,0,0.3,0,0,100,2005
"1731","Presidente Kennedy",1718402,"TO",774,337.7,0.2,105,0,0.6,330.7,0,100,2005
"1732","Presidente Juscelino",2109205,"MA",360,36.8,3.3,284.9,0,2.5,33.3,2.5,99,2005
"1733","Presidente Figueiredo",1303536,"AM",25568,657.9,13.6,21478.5,3.3,5.4,1.1,3421.8,99,2005
"1734","Presidente Dutra",2109106,"MA",805,711.3,17.4,93.5,0,0,0.1,0.1,99,2005
"1735","Prainha",1506005,"PA",14785,1350.6,42.5,8010.3,898.9,9.7,2964.4,1551.1,99,2005
"1736","Praia Norte",1718303,"TO",291,212.8,4,39.4,0,0,29.5,9.3,100,2005
"1737","Pracuúba",1600550,"AP",4965,61.8,0.3,3362.7,291.5,3.9,1176,69.1,100,2005
"1738","Poxoréo",5107008,"MT",6922,1846.5,6.3,102.7,0,0,4972.8,0,100,2005
"1739","Porto Walter",1200393,"AC",6661,148.5,11.4,6507.9,0,1.6,3,0,100,2005
"1740","Porto Velho",1100205,"RO",34631,6545.6,659.9,26879,0,23.4,431.9,751.1,100,2005
"1741","Porto Rico do Maranhão",2109056,"MA",211,117.9,0,80.8,2.3,0,0.5,9.5,100,2005
"1742","Porto Nacional",1718204,"TO",4472,0,0,0,0,561,4441.5,31.6,112,2005
"1743","Porto Grande",1600535,"AP",4407,302.7,19.8,3046.3,377.4,21.4,639.8,19.4,100,2005
"1744","Porto Franco",2109007,"MA",1427,554.6,22.4,96,0,0.1,760.7,15.6,100,2005
"1745","Porto Estrela",5106851,"MT",2068,377.3,2.9,228.3,0,0,1462.4,0,100,2005
"1746","Porto Esperidião",5106828,"MT",5833,360.5,5.9,224.5,0,6.5,5241.5,0,100,2005
